testType,structType,k,N,D,distribution,timing,trial
k,kdTree,25,1000,2,G,97384,2
k,kdTree,25,1000,2,G,98929,3
n,kdTree,10,100,2,U,82,1
n,kdTree,10,100,2,U,77,2
n,kdTree,10,100,2,U,66,3
n,kdTree,10,100,2,G,70,1
n,kdTree,10,100,2,G,79,2
n,kdTree,10,100,2,G,70,3
n,kdTree,10,1000,2,U,9578,1
n,kdTree,10,1000,2,U,11103,2
n,kdTree,10,1000,2,U,11405,3
n,kdTree,10,1000,2,G,8799,1
n,kdTree,10,1000,2,G,8717,2
n,kdTree,10,1000,2,G,9038,3
n,kdTree,10,5000,2,U,226058,1
n,kdTree,10,5000,2,U,239338,2
n,kdTree,10,5000,2,U,207005,3
n,kdTree,10,5000,2,G,166242,1
n,kdTree,10,5000,2,G,167343,2
n,kdTree,10,5000,2,G,172447,3
n,kdTree,10,10000,2,U,891775,1
n,kdTree,10,10000,2,U,904775,2
n,kdTree,10,10000,2,U,872858,3
n,kdTree,10,10000,2,G,633477,1
n,kdTree,10,10000,2,G,644769,2
n,kdTree,10,10000,2,G,622386,3
n,kdTree,10,20000,2,U,3421229,1
n,kdTree,10,20000,2,U,3400813,2
n,kdTree,10,20000,2,U,3495573,3
n,kdTree,10,20000,2,G,2426559,1
n,kdTree,10,20000,2,G,2453322,2
n,kdTree,10,20000,2,G,2491796,3
kn,kdTree,1,100,2,U,63,1
kn,kdTree,1,100,2,U,86,2
kn,kdTree,1,100,2,U,84,3
kn,kdTree,1,100,2,G,71,1
kn,kdTree,1,100,2,G,76,2
kn,kdTree,1,100,2,G,66,3
kn,kdTree,5,1000,2,U,10959,1
kn,kdTree,5,1000,2,U,12294,2
kn,kdTree,5,1000,2,U,11131,3
kn,kdTree,5,1000,2,G,8648,1
kn,kdTree,5,1000,2,G,7890,2
kn,kdTree,5,1000,2,G,8861,3
kn,kdTree,10,5000,2,U,242678,1
kn,kdTree,10,5000,2,U,249765,2
kn,kdTree,10,5000,2,U,225212,3
kn,kdTree,10,5000,2,G,164350,1
kn,kdTree,10,5000,2,G,171202,2
kn,kdTree,10,5000,2,G,167186,3
kn,kdTree,20,10000,2,U,943313,1
kn,kdTree,20,10000,2,U,900096,2
kn,kdTree,20,10000,2,U,944170,3
kn,kdTree,20,10000,2,G,670266,1
kn,kdTree,20,10000,2,G,655422,2
kn,kdTree,20,10000,2,G,657876,3
kn,kdTree,25,20000,2,U,3671298,1
kn,kdTree,25,20000,2,U,3573162,2
kn,kdTree,25,20000,2,U,3551013,3
kn,kdTree,25,20000,2,G,2545101,1
kn,kdTree,25,20000,2,G,2574307,2
kn,kdTree,25,20000,2,G,2620292,3
d,kdTree,10,1000,1,G,61702,1
d,kdTree,10,1000,1,G,59597,2
d,kdTree,10,1000,1,G,60642,3
d,kdTree,10,1000,2,G,88653,1
d,kdTree,10,1000,2,G,85514,2
d,kdTree,10,1000,2,G,83449,3
d,kdTree,10,1000,3,G,113520,1
d,kdTree,10,1000,3,G,116108,2
d,kdTree,10,1000,3,G,123851,3
d,kdTree,10,1000,4,G,144553,1
d,kdTree,10,1000,4,G,144936,2
d,kdTree,10,1000,4,G,137785,3
d,kdTree,10,1000,5,G,175675,1
d,kdTree,10,1000,5,G,176151,2
d,kdTree,10,1000,5,G,170474,3
d,kdTree,10,1000,6,G,179972,1
d,kdTree,10,1000,6,G,187142,2
d,kdTree,10,1000,6,G,186524,3
d,kdTree,10,1000,7,G,218689,1
d,kdTree,10,1000,7,G,215890,2
d,kdTree,10,1000,7,G,207729,3
d,kdTree,10,1000,1,U,89138,1
d,kdTree,10,1000,1,U,91563,2
d,kdTree,10,1000,1,U,83140,3
d,kdTree,10,1000,2,U,120496,1
d,kdTree,10,1000,2,U,116860,2
d,kdTree,10,1000,2,U,110021,3
d,kdTree,10,1000,3,U,135795,1
d,kdTree,10,1000,3,U,133312,2
d,kdTree,10,1000,3,U,138190,3
d,kdTree,10,1000,4,U,158710,1
d,kdTree,10,1000,4,U,156377,2
d,kdTree,10,1000,4,U,155759,3
d,kdTree,10,1000,5,U,186770,1
d,kdTree,10,1000,5,U,183313,2
d,kdTree,10,1000,5,U,185883,3
d,kdTree,10,1000,6,U,203342,1
d,kdTree,10,1000,6,U,201186,2
d,kdTree,10,1000,6,U,197242,3
d,kdTree,10,1000,7,U,218712,1
d,kdTree,10,1000,7,U,218442,2
d,kdTree,10,1000,7,U,223102,3
